method,query_idx,label_group,AP@5,n_relevant,Precision@1,Recall@1,Precision@3,Recall@3,Precision@5,Recall@5,Precision@10,Recall@10
StrongFusion_global_crop_text_light_crop_phash_strong,30720,3445695854,1.0,1,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30721,1377712939,1.0,2,1.0,0.5,0.6666666666666666,1.0,0.4,1.0,0.2,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30722,3951971428,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
StrongFusion_global_crop_text_light_crop_phash_strong,30723,3660894532,1.0,1,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30724,3216744297,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
StrongFusion_global_crop_text_light_crop_phash_strong,30725,3376220712,1.0,1,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30726,3050187782,0.4,11,1.0,0.09090909090909091,0.6666666666666666,0.18181818181818182,0.4,0.18181818181818182,0.3,0.2727272727272727
StrongFusion_global_crop_text_light_crop_phash_strong,30727,3177978300,1.0,2,1.0,0.5,0.6666666666666666,1.0,0.4,1.0,0.2,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30728,3513398405,0.75,4,1.0,0.25,1.0,0.75,0.6,0.75,0.3,0.75
StrongFusion_global_crop_text_light_crop_phash_strong,30729,2023870601,0.375,4,1.0,0.25,0.3333333333333333,0.25,0.4,0.5,0.4,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30730,1999312808,0.3333333333333333,3,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.3333333333333333,0.1,0.3333333333333333
StrongFusion_global_crop_text_light_crop_phash_strong,30731,1460273711,1.0,1,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30732,920862275,1.0,1,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30733,3500028942,0.5,1,0.0,0.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30734,2547701731,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30735,2389632852,1.0,1,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30736,4030711241,1.0,3,1.0,0.3333333333333333,1.0,1.0,0.6,1.0,0.3,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30737,867517905,1.0,1,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30738,189449324,1.0,7,1.0,0.14285714285714285,1.0,0.42857142857142855,1.0,0.7142857142857143,0.7,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30739,1489075782,1.0,2,1.0,0.5,0.6666666666666666,1.0,0.4,1.0,0.2,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30740,2125715228,1.0,3,1.0,0.3333333333333333,1.0,1.0,0.6,1.0,0.3,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30741,1270473711,1.0,2,1.0,0.5,0.6666666666666666,1.0,0.4,1.0,0.2,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30742,1240826113,0.5,1,0.0,0.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30743,226718354,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
StrongFusion_global_crop_text_light_crop_phash_strong,30744,1664573953,1.0,17,1.0,0.058823529411764705,1.0,0.17647058823529413,1.0,0.29411764705882354,0.9,0.5294117647058824
StrongFusion_global_crop_text_light_crop_phash_strong,30745,952183003,1.0,32,1.0,0.03125,1.0,0.09375,1.0,0.15625,1.0,0.3125
StrongFusion_global_crop_text_light_crop_phash_strong,30746,2602533565,0.6,6,1.0,0.16666666666666666,1.0,0.5,0.6,0.5,0.4,0.6666666666666666
StrongFusion_global_crop_text_light_crop_phash_strong,30747,2602533565,0.04,6,0.0,0.0,0.0,0.0,0.2,0.16666666666666666,0.1,0.16666666666666666
StrongFusion_global_crop_text_light_crop_phash_strong,30748,4243140889,1.0,1,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30749,1990957212,1.0,4,1.0,0.25,1.0,0.75,0.8,1.0,0.4,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30750,1226500780,0.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.13333333333333333
StrongFusion_global_crop_text_light_crop_phash_strong,30751,919356882,0.75,2,1.0,0.5,0.3333333333333333,0.5,0.4,1.0,0.2,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30752,3450050673,1.0,1,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30753,2582032586,1.0,5,1.0,0.2,1.0,0.6,1.0,1.0,0.5,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30754,1635557189,1.0,1,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30755,3273907723,1.0,2,1.0,0.5,0.6666666666666666,1.0,0.4,1.0,0.2,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30756,4099296199,0.52,5,1.0,0.2,0.6666666666666666,0.4,0.6,0.6,0.3,0.6
StrongFusion_global_crop_text_light_crop_phash_strong,30757,167586954,0.5,1,0.0,0.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30758,110044280,1.0,1,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30759,1909089174,1.0,1,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30760,3518206766,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
StrongFusion_global_crop_text_light_crop_phash_strong,30761,814763898,1.0,2,1.0,0.5,0.6666666666666666,1.0,0.4,1.0,0.2,1.0
